Test ID,Phase,E Link,Bit Errors
77,0,13,0
77,0,14,0
77,0,15,0
77,0,16,0
77,0,17,0
77,0,18,0
77,0,19,0
77,0,20,0
77,1,0,0
77,1,1,0
77,1,2,0
77,1,3,0
77,1,4,0
77,1,5,0
77,1,6,0
77,1,7,149366111
77,1,8,0
77,1,9,0
77,1,10,0
77,1,11,0
77,1,12,0
77,1,13,0
77,1,14,0
77,1,15,0
77,1,16,0
77,1,17,0
77,1,18,0
77,1,19,0
77,1,20,0
77,2,0,0
77,2,1,0
77,2,2,51748379
77,2,3,0
77,2,4,0
77,2,5,0
77,2,6,0
77,2,7,0
77,2,8,0
77,2,9,0
77,2,10,51748379
77,2,11,51748379
77,2,12,0
77,2,13,0
77,2,14,0
77,2,15,0
77,2,16,0
77,2,17,0
77,2,18,563462330
77,2,19,550571578
77,2,20,409055291
77,3,0,0
77,3,1,0
77,3,2,299806280
77,3,3,0
77,3,4,0
77,3,5,0
77,3,6,0
77,3,7,0
77,3,8,0
77,3,9,211667205
77,3,10,0
77,3,11,0
77,3,12,0
77,3,13,0
77,3,14,0
77,3,15,0
77,3,16,0
77,3,17,211667205
77,3,18,0
77,3,19,0
77,3,20,0
77,4,0,312705757
77,4,1,312705757
77,4,2,312705757
77,4,3,312705757
77,4,4,312705757
77,4,5,312705757
77,4,6,312705757
77,4,7,312705757
77,4,8,312705757
77,4,9,312705757
77,4,10,0
77,4,11,554338311
77,4,12,0
77,4,13,0
77,4,14,312705757
77,4,15,312705757
77,4,16,312705757
77,4,17,312705757
77,4,18,0
77,4,19,224239949
77,4,20,252618411
77,5,0,817911
77,5,1,817911
77,5,2,817911
77,5,3,817911
77,5,4,0
77,5,5,0
77,5,6,402016673
77,5,7,0
77,5,8,817911
77,5,9,817911
77,5,10,817911
77,5,11,817911
77,5,12,0
77,5,13,0
77,5,14,0
77,5,15,599646988
77,5,16,588694480
77,5,17,588694480
77,5,18,913369871
77,5,19,0
77,5,20,0
77,6,0,445431488
77,6,1,445431488
77,6,2,445431488
77,6,3,445431488
77,6,4,445431488
77,6,5,445431488
77,6,6,445431488
77,6,7,445431488
77,6,8,0
77,6,9,503967463
77,6,10,0
77,6,11,0
77,6,12,0
77,6,13,0
77,6,14,14211
77,6,15,0
77,6,16,0
77,6,17,0
77,6,18,0
77,6,19,0
77,6,20,0
77,7,0,0
77,7,1,0
77,7,2,0
77,7,3,0
77,7,4,0
77,7,5,0
77,7,6,0
77,7,7,0
77,7,8,0
77,7,9,0
77,7,10,0
77,7,11,128200631
77,7,12,0
77,7,13,0
77,7,14,477233586
77,7,15,782929674
77,7,16,486431086
77,7,17,969493547
77,7,18,969493547
77,7,19,969493547
77,7,20,969493547
77,8,0,0
77,8,1,0
77,8,2,0
77,8,3,0
77,8,4,0
77,8,5,0
77,8,6,0
77,8,7,0
77,8,8,0
77,8,9,0
77,8,10,0
77,8,11,0
77,8,12,0
77,8,13,0
77,8,14,0
77,8,15,0
77,8,16,0
77,8,17,0
77,8,18,0
77,8,19,0
77,8,20,0
77,9,0,36656520
77,9,1,36656520
77,9,2,36656520
77,9,3,36656520
77,9,4,36656520
77,9,5,36656520
77,9,6,36656520
77,9,7,36656520
77,9,8,36656520
77,9,9,36656520
77,9,10,0
77,9,11,0
77,9,12,0
77,9,13,0
77,9,14,575605650
77,9,15,575605650
77,9,16,430690003
77,9,17,617307729
77,9,18,427428431
77,9,19,427428431
77,9,20,243958831
77,10,0,0
