Name,Major SN,Major Code,SubType Name,Sub Code
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 6,06
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 8,08
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 10,10
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 12,12
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 14,14
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 16,16
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 18,18
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 20,20
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 22,22
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 24,24
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 26,26
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 28,28
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 30,30
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 32,32
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 34,34
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 36,36
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 38,38
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 40,40
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 42,42
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 44,44
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 46,46
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 48,48
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 50,50
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 52,52
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 54,54
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 56,56
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 58,58
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 60,60
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 62,62
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 64,64
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 66,66
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 68,68
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 70,70
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 72,72
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 74,74
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 76,76
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 78,78
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 80,80
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 82,82
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 84,84
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 86,86
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 88,88
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 90,90
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 92,92
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 94,94
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 96,96
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 98,98
Bare Cast Machined Tile,20,BC,BH/LD Tile Size 99,99
Bare Cast Machined Tile,20,BC,FH/HD Tile Size 1,F1
Bare Cast Machined Tile,20,BC,FH/HD Tile Size 2,F2
Bare Cast Machined Tile,20,BC,FH/HD Tile Size 3,F3
Bare Cast Machined Tile,20,BC,FH/HD Tile Size 4,F4
Bare Cast Machined Tile,20,BC,FH/HD Tile Size 5,F5
Bare Cast Machined Tile,20,BC,FH/HD Tile Size 6,F6
