LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION,ATTRIBUTE-NAME[0],ATTRIBUTE-VALUE[0]
IC-LPG,E428CFFC,E428CFFC,LPGBT W 0xE428CFFC,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000893,W LPGBT for 320EL10W1010076,lpGBT Location LD Engine,TRIG-W
IC-LPG,CCAF6CA5,CCAF6CA5,LPGBT DAQ 0xCCAF6CA5,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000894,DAQ LPGBT for 320EL10W1010077,lpGBT Location LD Engine,DAQ
IC-LPG,642A2932,642A2932,LPGBT E 0x642A2932,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000895,E LPGBT for 320EL10W1010077,lpGBT Location LD Engine,TRIG-E
IC-LPG,4CAD29C8,4CAD29C8,LPGBT W 0x4CAD29C8,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000896,W LPGBT for 320EL10W1010077,lpGBT Location LD Engine,TRIG-W
IC-LPG,0429C715,0429C715,LPGBT DAQ 0x0429C715,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000897,DAQ LPGBT for 320EL10W1010078,lpGBT Location LD Engine,DAQ
IC-LPG,CCAFA055,CCAFA055,LPGBT E 0xCCAFA055,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000898,E LPGBT for 320EL10W1010078,lpGBT Location LD Engine,TRIG-E
IC-LPG,C4AE7646,C4AE7646,LPGBT W 0xC4AE7646,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000899,W LPGBT for 320EL10W1010078,lpGBT Location LD Engine,TRIG-W
IC-LPG,8C2951AE,8C2951AE,LPGBT DAQ 0x8C2951AE,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000900,DAQ LPGBT for 320EL10W1010079,lpGBT Location LD Engine,DAQ
IC-LPG,ECA8D9FB,ECA8D9FB,LPGBT E 0xECA8D9FB,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000901,E LPGBT for 320EL10W1010079,lpGBT Location LD Engine,TRIG-E
IC-LPG,CCAA6595,CCAA6595,LPGBT W 0xCCAA6595,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000902,W LPGBT for 320EL10W1010079,lpGBT Location LD Engine,TRIG-W
IC-LPG,0C2ECA24,0C2ECA24,LPGBT DAQ 0x0C2ECA24,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000903,DAQ LPGBT for 320EL10W1010080,lpGBT Location LD Engine,DAQ
IC-LPG,0C2828C0,0C2828C0,LPGBT E 0x0C2828C0,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000904,E LPGBT for 320EL10W1010080,lpGBT Location LD Engine,TRIG-E
IC-LPG,C4AE02FE,C4AE02FE,LPGBT W 0xC4AE02FE,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000905,W LPGBT for 320EL10W1010080,lpGBT Location LD Engine,TRIG-W
IC-LPG,6CAA0C06,6CAA0C06,LPGBT DAQ 0x6CAA0C06,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000906,DAQ LPGBT for 320EL10W1010081,lpGBT Location LD Engine,DAQ
IC-LPG,8C2C83B5,8C2C83B5,LPGBT E 0x8C2C83B5,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000907,E LPGBT for 320EL10W1010081,lpGBT Location LD Engine,TRIG-E
IC-LPG,64ADF7CE,64ADF7CE,LPGBT W 0x64ADF7CE,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000908,W LPGBT for 320EL10W1010081,lpGBT Location LD Engine,TRIG-W
IC-LPG,64A8D516,64A8D516,LPGBT DAQ 0x64A8D516,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000909,DAQ LPGBT for 320EL10W1010082,lpGBT Location LD Engine,DAQ
IC-LPG,2CAB8C37,2CAB8C37,LPGBT E 0x2CAB8C37,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000910,E LPGBT for 320EL10W1010082,lpGBT Location LD Engine,TRIG-E
IC-LPG,84AAED69,84AAED69,LPGBT W 0x84AAED69,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000911,W LPGBT for 320EL10W1010082,lpGBT Location LD Engine,TRIG-W
IC-LPG,4CAE5273,4CAE5273,LPGBT DAQ 0x4CAE5273,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000912,DAQ LPGBT for 320EL10W1010083,lpGBT Location LD Engine,DAQ
IC-LPG,2CAB76FE,2CAB76FE,LPGBT E 0x2CAB76FE,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000913,E LPGBT for 320EL10W1010083,lpGBT Location LD Engine,TRIG-E
IC-LPG,4CA87591,4CA87591,LPGBT W 0x4CA87591,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000914,W LPGBT for 320EL10W1010083,lpGBT Location LD Engine,TRIG-W
IC-LPG,442B5639,442B5639,LPGBT DAQ 0x442B5639,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000915,DAQ LPGBT for 320EL10W1010084,lpGBT Location LD Engine,DAQ
IC-LPG,4CA8869D,4CA8869D,LPGBT E 0x4CA8869D,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000916,E LPGBT for 320EL10W1010084,lpGBT Location LD Engine,TRIG-E
IC-LPG,0C2817C3,0C2817C3,LPGBT W 0x0C2817C3,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000917,W LPGBT for 320EL10W1010084,lpGBT Location LD Engine,TRIG-W
IC-LPG,0429CD23,0429CD23,LPGBT DAQ 0x0429CD23,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000918,DAQ LPGBT for 320EL10W1010085,lpGBT Location LD Engine,DAQ
