LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],MADE-FROM-TYPECODE[1],MADE-FROM-SN[1],MADE-FROM-TYPECODE[2],MADE-FROM-SN[2],MADE-FROM-TYPECODE[3],MADE-FROM-SN[3],MADE-FROM-TYPECODE[4],MADE-FROM-SN[4]
EL-10E,320EL10E1010043,320EL10E1010043,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010043,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,442B17D2,IC-LPG,64AD0DA2,IC-LPG,0CAC817B,IC-LDH, LDO 14 000504,EL-1BE,320EL1BE1010043
EL-10E,320EL10E1010044,320EL10E1010044,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010044,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CAEB96B,IC-LPG,2C2FA108,IC-LPG,A42F70A1,IC-LDH, LDO 14 000497,EL-1BE,320EL1BE1010044
EL-10E,320EL10E1010045,320EL10E1010045,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010045,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CAEB96B,IC-LPG,2C2FA108,IC-LPG,A42F70A1,IC-LDH, LDO 14 003088,EL-1BE,320EL1BE1010045
EL-10E,320EL10E1010046,320EL10E1010046,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010046,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CAEB96B,IC-LPG,2C2FA108,IC-LPG,A42F70A1,IC-LDH, LDO 14 003087,EL-1BE,320EL1BE1010046
EL-10E,320EL10E1010047,320EL10E1010047,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010047,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CAEB96B,IC-LPG,2C2FA108,IC-LPG,A42F70A1,IC-LDH, LDO 14 003049,EL-1BE,320EL1BE1010047
EL-10E,320EL10E1010048,320EL10E1010048,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010048,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CAEB96B,IC-LPG,2C2FA108,IC-LPG,A42F70A1,IC-LDH, LDO 14 003047,EL-1BE,320EL1BE1010048
EL-10E,320EL10E1010049,320EL10E1010049,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010049,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CAEB96B,IC-LPG,2C2FA108,IC-LPG,A42F70A1,IC-LDH, LDO 14 003549,EL-1BE,320EL1BE1010049
EL-10E,320EL10E1010050,320EL10E1010050,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010050,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CAEB96B,IC-LPG,2C2FA108,IC-LPG,A42F70A1,IC-LDH, LDO 14 003552,EL-1BE,320EL1BE1010050
EL-10E,320EL10E1010051,320EL10E1010051,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010051,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,8CAEB96B,IC-LPG,2C2FA108,IC-LPG,A42F70A1,IC-LDH, LDO 14 001221,EL-1BE,320EL1BE1010051
EL-10E,320EL10E1010052,320EL10E1010052,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010052,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,CC2D12F3,IC-LPG,2CAD3785,IC-LPG,ECAD3E16,IC-LDH, LDO 14 001235,EL-1BE,320EL1BE1010052
EL-10E,320EL10E1010053,320EL10E1010053,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010053,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,642F54EF,IC-LPG,0CAA5336,IC-LPG,642CF289,IC-LDH, LDO 14 004792,EL-1BE,320EL1BE1010053
EL-10E,320EL10E1010054,320EL10E1010054,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010054,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,642F54EF,IC-LPG,0CAA5336,IC-LPG,642CF289,IC-LDH, LDO 14 001117,EL-1BE,320EL1BE1010054
EL-10E,320EL10E1010055,320EL10E1010055,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010055,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,44ACD83F,IC-LPG,ECA8703B,IC-LPG,8C2A1A70,IC-LDH, LDO 14 003908,EL-1BE,320EL1BE1010055
EL-10E,320EL10E1010056,320EL10E1010056,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010056,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,04ABCD9D,IC-LPG,042F4057,IC-LPG,24AF783F,IC-LDH, LDO 14 003906,EL-1BE,320EL1BE1010056
EL-10E,320EL10E1010057,320EL10E1010057,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010057,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,6C2E90DD,IC-LPG,A4ABEFE0,IC-LPG,ACAF36F6,IC-LDH, LDO 14 003577,EL-1BE,320EL1BE1010057
EL-10E,320EL10E1010058,320EL10E1010058,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010058,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,6C2E90DD,IC-LPG,A4ABEFE0,IC-LPG,ACAF36F6,IC-LDH, LDO 14 003576,EL-1BE,320EL1BE1010058
