Test ID,ADC,slope,intercept,rsquared
101,WEST_VMON_LVS0,1.0703125,32.8125,0.9999966700521136
101,WEST_VMON_LVS1,1.07177734375,31.640625,0.9999943960754263
101,WEST_VMON_LVS2,1.072265625,31.4453125,0.999996682171983
101,WEST_PROBE_DC,1.0732421875,31.25,0.9999942043768546
101,EAST_VMON_REF0,1.09423828125,33.7890625,0.9999866590948733
101,EAST_VMON_REF1,1.095703125,33.7890625,0.9999888791625691
101,EAST_VMON_REF2,1.0927734375,34.765625,0.9999912152643569
101,EAST_VMON_LVS0,1.09423828125,33.984375,0.9999882520200551
101,EAST_VMON_LVS1,1.0927734375,34.765625,0.9999992013812911
101,EAST_VMON_LVS2,1.0927734375,34.9609375,0.9999904166596786
101,EAST_PROBE_DC,1.09326171875,33.7890625,0.9999818479649373
114,WEST_VMON_REF0,1.0634765625,33.59375,0.999996627105424
114,WEST_VMON_REF1,1.06298828125,33.203125,0.9999909270679744
114,WEST_VMON_REF2,1.06201171875,34.375,0.9999909103746026
114,WEST_VMON_LVS0,1.06298828125,33.7890625,0.9999934590324433
114,WEST_VMON_LVS1,1.0625,33.3984375,0.9999966209024218
114,WEST_VMON_LVS2,1.060546875,33.7890625,0.9999838903185052
114,WEST_PROBE_DC,1.0625,33.203125,0.9999932418276803
114,EAST_VMON_REF0,1.06884765625,34.1796875,0.9999943653130339
114,EAST_VMON_REF1,1.06884765625,34.1796875,0.9999943653130339
114,EAST_VMON_REF2,1.068359375,34.5703125,0.9999799475293684
114,EAST_VMON_LVS0,1.06640625,34.5703125,0.9999974842071102
114,EAST_VMON_LVS1,1.0673828125,34.9609375,0.9999991629347509
114,EAST_VMON_LVS2,1.0693359375,34.1796875,0.9999916599598845
114,EAST_PROBE_DC,1.06640625,35.15625,0.9999765197586231
121,WEST_VMON_REF0,1.0634765625,33.59375,0.999996627105424
121,WEST_VMON_REF1,1.06298828125,33.203125,0.9999909270679744
121,WEST_VMON_REF2,1.06201171875,34.375,0.9999909103746026
121,WEST_VMON_LVS0,1.06298828125,33.7890625,0.9999934590324433
121,WEST_VMON_LVS1,1.0625,33.3984375,0.9999966209024218
121,WEST_VMON_LVS2,1.060546875,33.7890625,0.9999838903185052
121,WEST_PROBE_DC,1.0625,33.203125,0.9999932418276803
121,EAST_VMON_REF0,1.06884765625,34.1796875,0.9999943653130339
121,EAST_VMON_REF1,1.06884765625,34.1796875,0.9999943653130339
121,EAST_VMON_REF2,1.068359375,34.5703125,0.9999799475293684
121,EAST_VMON_LVS0,1.06640625,34.5703125,0.9999974842071102
121,EAST_VMON_LVS1,1.0673828125,34.9609375,0.9999991629347509
121,EAST_VMON_LVS2,1.0693359375,34.1796875,0.9999916599598845
121,EAST_PROBE_DC,1.06640625,35.15625,0.9999765197586231
141,WEST_VMON_LVS1,1.0732421875,33.203125,0.9999859250317514
141,WEST_VMON_LVS2,1.072265625,32.8125,0.9999975116269232
141,WEST_VMON_REF2,1.0703125,34.375,0.9999941726057526
141,WEST_VMON_REF0,1.07177734375,33.7890625,0.9999985471246352
141,WEST_VMON_LVS0,1.07275390625,33.203125,0.9999910915022875
141,WEST_VMON_REF1,1.07275390625,33.3984375,0.9999952349698518
141,WEST_PROBE_DC,1.07275390625,33.7890625,0.9999935775787056
141,EAST_VMON_LVS1,1.07373046875,34.9609375,0.9999853174491571
141,EAST_VMON_LVS2,1.07470703125,34.5703125,0.999997729342591
141,EAST_VMON_REF2,1.07568359375,34.1796875,0.9999911399614114
141,EAST_VMON_REF0,1.0751953125,33.984375,0.9999909256796665
141,EAST_VMON_LVS0,1.07568359375,34.5703125,0.9999977334635561
141,EAST_VMON_REF1,1.0751953125,34.1796875,0.9999942254134604
141,EAST_PROBE_DC,1.07421875,34.375,0.9999942149095007
151,WEST_VMON_LVS1,1.07470703125,33.203125,0.9999944265865857
151,WEST_VMON_LVS2,1.07470703125,33.203125,0.9999944265865857
151,WEST_VMON_REF2,1.07421875,33.3984375,0.9999942149095007
151,WEST_VMON_REF0,1.07568359375,33.3984375,0.9999960850798685
151,WEST_VMON_LVS0,1.0751953125,33.0078125,0.9999909256796665
151,WEST_VMON_REF1,1.07421875,33.3984375,0.9999942149095007
151,WEST_PROBE_DC,1.0732421875,33.59375,0.9999966882071194
151,EAST_VMON_LVS1,1.0771484375,33.984375,0.9999991780439089
151,EAST_VMON_LVS2,1.0751953125,35.15625,0.9999942254134604
151,EAST_VMON_REF2,1.07666015625,33.984375,0.9999993829735244
151,EAST_VMON_REF0,1.07666015625,34.375,0.999995269483148
151,EAST_VMON_LVS0,1.076171875,34.5703125,0.9999975296585084
151,EAST_VMON_REF1,1.07763671875,33.984375,0.999991993246406
151,EAST_PROBE_DC,1.0751953125,34.5703125,0.9999950503503113
161,WEST_VMON_LVS1,1.08544921875,32.8125,0.9999961552066193
161,WEST_VMON_LVS2,1.08544921875,33.0078125,0.9999993929253954
161,WEST_VMON_REF2,1.0859375,32.421875,0.9999951477902229
161,WEST_VMON_REF0,1.0869140625,32.2265625,0.9999935420176514
161,WEST_VMON_LVS0,1.0869140625,32.421875,0.9999967709983992
161,WEST_VMON_REF1,1.0869140625,32.421875,0.9999967709983992
161,WEST_PROBE_DC,1.08642578125,32.8125,0.9999985860391158
