Label ID,Full Label,Type Code,SN,Major Type ID,Sub Type ID,Time
2057,320BC9910090003,BC99,10090003,6,82,2024-03-14 09:35:25
2058,320EL0310000027,EL0310,000027,24,980,2024-03-14 09:35:25
2059,320BC9910090001,BC99,10090001,6,82,2024-03-14 09:35:25
2060,320BC9910090007,BC99,10090007,6,82,2024-03-14 09:35:25
2061,320BC9910090006,BC99,10090006,6,82,2024-03-14 09:35:25
2062,320BC9910090005,BC99,10090005,6,82,2024-03-14 09:35:25
2063,320EL0310000026,EL0310,000026,24,980,2024-03-14 09:35:25
2064,320EL0310000025,EL0310,000025,24,980,2024-03-14 09:35:25
2065,320EL0310000024,EL0310,000024,24,980,2024-03-14 09:35:25
2066,320MLF3CXTT0009,MLF3C,XTT0009,7,360,2024-03-14 09:35:25
2067,320MLF3CXTT0008,MLF3C,XTT0008,7,360,2024-03-14 09:35:25
2068,320MLF3CXTT0005,MLF3C,XTT0005,7,360,2024-03-14 09:35:25
2069,320MLF3CXTT0004,MLF3C,XTT0004,7,360,2024-03-14 09:35:25
2070,320MLF3CXTT0007,MLF3C,XTT0007,7,360,2024-03-14 09:35:25
2071,320MLF3CXTT0006,MLF3C,XTT0006,7,360,2024-03-14 09:35:25
2072,320MLF3CXTT0001,MLF3C,XTT0001,7,360,2024-03-14 09:35:25
2073,320MLF3CXTT0003,MLF3C,XTT0003,7,360,2024-03-14 09:35:25
2074,320MLF3CXTT0002,MLF3C,XTT0002,7,360,2024-03-14 09:35:25
2075,320MLF3WX0009,MLF3W,X0009,7,364,2024-03-14 09:35:25
2076,320MLF3WX0008,MLF3W,X0008,7,364,2024-03-14 09:35:25
2077,320MLF3WX0003,MLF3W,X0003,7,364,2024-03-14 09:35:25
2078,320MLF3WX0002,MLF3W,X0002,7,364,2024-03-14 09:35:25
2079,320MLF3WX0001,MLF3W,X0001,7,364,2024-03-14 09:35:25
2080,320MLF3WX0007,MLF3W,X0007,7,364,2024-03-14 09:35:25
2081,320MLF3WX0006,MLF3W,X0006,7,364,2024-03-14 09:35:25
2082,320MLF3WX0005,MLF3W,X0005,7,364,2024-03-14 09:35:25
2083,320MLF3WX0004,MLF3W,X0004,7,364,2024-03-14 09:35:25
2084,320CBTXD2000021,XXXXXX,000021,1,1,2024-03-14 09:35:25
2085,320CBTXD2000020,XXXXXX,000020,1,1,2024-03-14 09:35:25
2086,320CBTXD2000023,XXXXXX,000023,1,1,2024-03-14 09:35:25
2087,320CBTXD2000022,XXXXXX,000022,1,1,2024-03-14 09:35:25
2088,320CBTXD2000025,XXXXXX,000025,1,1,2024-03-14 09:35:25
2089,320CBTXD2000024,XXXXXX,000024,1,1,2024-03-14 09:35:25
2090,320CBTXD2000027,XXXXXX,000027,1,1,2024-03-14 09:35:25
2091,320CBTXD2000026,XXXXXX,000026,1,1,2024-03-14 09:35:25
2092,320CBTXD2000029,XXXXXX,000029,1,1,2024-03-14 09:35:25
2093,320CBTXD2000028,XXXXXX,000028,1,1,2024-03-14 09:35:25
2094,320TC9910250003,TC99,10250003,2,82,2024-03-14 09:35:25
2095,320TC9910250002,TC99,10250002,2,82,2024-03-14 09:35:25
2096,320TC9910250007,TC99,10250007,2,82,2024-03-14 09:35:25
2097,320TC9910250006,TC99,10250006,2,82,2024-03-14 09:35:25
2098,320TC9910250005,TC99,10250005,2,82,2024-03-14 09:35:25
2099,320TC9910250004,TC99,10250004,2,82,2024-03-14 09:35:25
2100,320TC9910250008,TC99,10250008,2,82,2024-03-14 09:35:25
2101,320TC9910070010,TC99,10070010,2,82,2024-03-14 09:35:25
2102,320TC9910070011,TC99,10070011,2,82,2024-03-14 09:35:25
2103,320TC9910070012,TC99,10070012,2,82,2024-03-14 09:35:25
2104,320TC9910070013,TC99,10070013,2,82,2024-03-14 09:35:25
2105,320TC9910070014,TC99,10070014,2,82,2024-03-14 09:35:25
2106,320BC9000020006,BC90,00020006,6,89,2024-03-14 09:35:25
2107,320BC9000020007,BC90,00020007,6,89,2024-03-14 09:35:25
